id,country,region,date,lockdown,ref
192,Palestine,,05/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine
193,Panama,,25/03/2020,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html
194,Papua New Guinea,,,None,
195,Paraguay,,15/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay
196,Peru,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru
197,Philippines,,16/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines
198,Poland,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
199,Portugal,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal
200,Qatar,,11/03/2020,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison
201,Romania,,25/03/2020,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2
202,Russia,,27/03/2020,Full,https://www.independent.co.uk/news/world/europe/coronavirus-russia-lockdown-putin-cases-latest-a9429601.html
203,Rwanda,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda
204,Saint Kitts and Nevis,,,None,
205,Saint Lucia,,20/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia
206,Saint Vincent and the Grenadines,,,None,
207,San Marino,,09/03/2020,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown
208,Saudi Arabia,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia
209,Senegal,,24/03/2020,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
210,Serbia,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
211,Seychelles,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles
212,Sierra Leone,,,None,
213,Singapore,,26/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
214,Slovakia,,09/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
215,Slovenia,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
216,Somalia,,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia
